Age Floor,1995 (T),1995 (M),1995 (F),2005 (T),2005 (M),2005 (F),2015 (T),2015 (M),2015 (F),2020 (T - Low),2020 (M - Low),2020 (F - Low),2020 (T - Med),2020 (M - Med),2020 (F - Med),2020 (T - High),2020 (M - High),2020 (F - High),2025 (T - Low),2025 (M - Low),2025 (F - Low),2025 (T - Med),2025 (M - Med),2025 (F - Med),2025 (T - High),2025 (M - High),2025 (F - High),2030 (T - Low),2030 (M - Low),2030 (F - Low),2030 (T - Med),2030 (M - Med),2030 (F - Med),2030 (T - High),2030 (M - High),2030 (F - High),2035 (T - Low),2035 (M - Low),2035 (F - Low),2035 (T - Med),2035 (M - Med),2035 (F - Med),2035 (T - High),2035 (M - High),2035 (F - High),2040 (T - Low),2040 (M - Low),2040 (F - Low),2040 (T - Med),2040 (M - Med),2040 (F - Med),2040 (T - High),2040 (M - High),2040 (F - High),2045 (T - Low),2045 (M - Low),2045 (F - Low),2045 (T - Med),2045 (M - Med),2045 (F - Med),2045 (T - High),2045 (M - High),2045 (F - High)
0,90022,45403,44619,87614,43945,43670,85248,43308,41940,94023,48025,45998,96150,49111,47039,99340,50741,48599,85022,43425,41598,91076,46517,44559,99013,50571,48442,76599,39133,37466,87004,44449,42555,98196,50167,48030,72986,37302,35684,85630,43765,41865,98323,50252,48071,72276,36946,35329,84496,43193,41303,98210,50204,48007,69850,35715,34135,80744,41285,39459,96574,49379,47195
1,630156,317820,312336,613301,307614,305687,596735,303154,293581,658164,336174,321989,673051,343779,329271,695381,355185,340196,595156,303973,291183,637532,325618,311915,693092,353996,339096,536192,273930,262262,609028,311141,297887,687374,351168,336207,510902,261117,249785,599410,306352,293058,688263,351764,336498,505929,258624,247306,591472,302352,289120,687473,351426,336046,488948,250002,238946,565208,288995,276213,676020,345654,330366
5,697253,355119,342134,749208,379137,370071,679209,345380,333829,786919,397353,389566,786919,397353,389566,786919,397353,389566,743552,379662,363891,760314,388220,372093,785455,401058,384397,673770,343987,329783,721686,368451,353235,784522,400533,383990,608033,310540,297493,690572,352697,337875,779378,398053,381325,580146,296437,283709,680642,347787,332854,781529,399338,382191,575024,293884,281141,672253,343575,328677,781356,399336,382020
10,605913,311086,294827,767156,391785,375371,718606,363026,355580,733945,371259,362687,733945,371259,362687,733945,371259,362687,784132,395791,388341,784132,395791,388341,784132,395791,388341,741361,378400,362960,758069,386929,371140,783132,399722,383410,672118,343031,329087,719913,367426,352488,782592,399417,383176,606800,309818,296982,689169,351875,337294,777793,397126,380667,579117,295832,283285,679434,347077,332357,780141,398522,381619
15,454940,223222,231718,647269,323729,323540,699010,354360,344650,701896,355474,346423,701896,355474,346423,701896,355474,346423,731241,369665,361576,731241,369665,361576,731241,369665,361576,781700,394333,387368,781700,394333,387368,781700,394333,387368,739423,377214,362209,756091,385718,370373,781093,398474,382619,670651,342116,328535,718345,366447,351898,780891,398355,382535,605636,309088,296548,687850,351048,336802,776306,396193,380113
20,364893,169953,194940,515297,253926,261371,654037,325601,328436,689083,346620,342462,689083,346620,342462,689083,346620,342462,697954,353072,344882,697954,353072,344882,697954,353072,344882,727789,367519,360270,727789,367519,360270,727789,367519,360270,778599,392380,386219,778599,392380,386219,778599,392380,386219,736955,375613,361342,753570,384083,369487,778493,396787,381706,668682,340829,327853,716238,365071,351167,778604,396861,381743
25,341125,161255,179870,429609,211279,218330,615988,308988,307000,653687,327955,325732,653687,327955,325732,653687,327955,325732,684111,343638,340473,684111,343638,340473,684111,343638,340473,693698,350452,343247,693698,350452,343247,693698,350452,343247,724053,365189,358864,724053,365189,358864,724053,365189,358864,775243,390247,384996,775243,390247,384996,775243,390247,384996,734146,373800,360346,750700,382230,368470,775530,394875,380656
30,281597,137349,144248,359995,176515,183480,496234,250383,245851,585365,293003,292362,585365,293003,292362,585365,293003,292362,648025,324682,323344,648025,324682,323344,648025,324682,323344,679088,340675,338413,679088,340675,338413,679088,340675,338413,689387,347869,341521,689387,347866,341521,689387,347866,341521,720263,362876,357387,720263,362876,357387,720263,362876,357387,771663,388052,383612,771663,388052,383612,771663,388052,383612
35,266046,133900,132146,329777,164415,165362,420083,212523,207560,506396,254782,251614,506396,254782,251614,506396,254782,251614,578873,289300,289573,578873,289300,289573,578873,289300,289573,641887,321119,320768,641887,321119,320768,641887,321119,320768,673598,337455,336144,673598,337455,336144,673598,337455,336144,684645,345026,339618,684645,345026,339618,684645,345026,339618,715881,360240,355641,715881,360240,355641,715881,360240,355641
40,181923,90730,91193,265867,132335,133532,343870,170808,173062,414517,208008,206509,414517,208008,206509,414517,208008,206509,498660,250302,248358,498660,250302,248358,498660,250302,248358,571217,284830,286386,571217,284830,286386,571217,284830,286386,634532,316786,317746,634532,316786,317746,634532,316786,317746,666914,333460,333453,666914,333460,333453,666914,333460,333453,678574,341363,337211,678574,341363,337211,678574,341363,337211
45,156890,76417,80473,227167,113869,113298,295907,149656,146251,346031,173373,172659,346031,173373,172659,346031,173373,172659,405424,202676,202747,405424,202676,202747,405424,202676,202747,489034,244592,244442,489034,244592,244442,489034,244592,244442,561522,279064,282457,561522,279064,282457,561522,279064,282457,625041,311072,313969,625041,311072,313969,625041,311072,313969,657916,328009,329907,657916,328009,329907,657916,328009,329907
50,133143,60530,72613,177980,86770,91210,267418,127272,140146,292640,143504,149136,292640,143504,149136,292640,143504,149136,334667,166622,168045,334667,166622,168045,334667,166622,168045,393557,195555,198003,393557,195555,198002,393557,195555,198002,476239,236834,239406,476239,236834,239406,476239,236834,239406,548381,271038,277343,548381,271038,277343,548381,271038,277343,611736,302885,308851,611736,302885,308851,611736,302885,308851
55,109641,53069,56572,128331,62691,65640,197607,98615,98992,240793,117622,123171,240793,117622,123171,240793,117622,123171,278065,134949,143116,278065,134949,143116,278065,134949,143116,319542,157509,162034,319542,157509,162034,319542,157509,162034,377466,185748,191718,377466,185748,191718,377466,185748,191718,458557,225894,232663,458557,225894,232663,458557,225894,232663,529745,259468,270277,529745,259468,270277,529745,259468,270277
60,89981,43216,46765,105014,50006,55008,147179,74106,73073,187982,90651,97330,187982,90651,97330,187982,90651,97330,222413,106888,115525,222413,106888,115525,222413,106888,115525,258646,123488,135158,258646,123488,135158,258646,123488,135158,299012,145052,153959,299012,145052,153959,299012,145052,153959,355233,172056,283177,355233,172056,183177,355233,172056,183177,433641,210381,223260,433641,210381,223260,433641,210381,223260
65,68006,34129,33877,79540,38289,41251,98901,47563,51338,129791,62968,66823,129791,62968,66823,129791,62968,66823,165985,78138,87847,165985,78138,87847,165985,78138,87847,198305,93001,105304,198305,93001,105304,198305,93001,105304,232683,108387,124296,232683,108387,124296,232683,108387,124296,271079,128340,142738,271079,128340,142738,271079,128340,142738,324481,153478,171003,324481,153478,171003,324481,153478,171003
70,103319,47788,55531,138857,64246,74611,176196,80027,96169,192964,87535,105430,192964,87535,105430,192964,87535,105430,226777,102699,124078,226777,102699,124078,226777,102699,124078,284755,126709,158045,284755,126709,158045,284755,126709,158045,356431,156211,200219,356431,156211,200219,356431,156211,200219,438746,189676,249070,438746,189676,249070,438746,189676,249070,532745,230236,302509,532745,230236,302509,532745,230236,302509